crop_type,location_zone,soil_moisture,precipitation,avg_temperature,Image Path,credit_score,index_of_image,Yield_1,Yield_2,Yield_3,Loan_ID,Cultivation_2022,Production_2022,Cultivation_2023,Cultivation_2024,Production_2024,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Maize,South,76.66,172.07,30.46,permanent_crop/PermanentCrop_112.jpg,725,17,4.643273127,3.475231442,3.47560087,Loan_18,256,633.6091411,474,455,510.9114996,Male,Yes,2,Graduate,No,9396,3660,324,60,0,Rural,Approved
Wheat,East,69.44,391.94,20.98,permanent_crop/PermanentCrop_113.jpg,724,18,3.729631449,1.52696147,1.495462015,Loan_19,492,765.3121366,365,401,693.6136442,Male,No,1,Graduate,No,6942,5706,496,240,1,Urban,Approved
Rice,North,69.11,227.5,27.58,permanent_crop/PermanentCrop_114.jpg,710,19,3.345551984,3.161063298,1.00554921,Loan_20,204,947.4096701,122,469,594.236827,Female,Yes,0,Graduate,Yes,4758,271,132,36,0,Semiurban,Approved
Maize,West,53.07,183.68,28.11,permanent_crop/PermanentCrop_115.jpg,828,20,3.971583303,2.097626198,3.212872733,Loan_21,143,789.5250404,203,360,737.4985035,Male,No,3+,Graduate,No,13875,3938,457,120,1,Semiurban,Rejected
Rice,East,48.14,312.3,32.73,permanent_crop/PermanentCrop_116.jpg,789,21,1.114525031,4.785453954,2.616596274,Loan_22,365,644.6064631,390,233,580.0935097,Male,No,1,Not Graduate,Yes,4078,5872,436,120,0,Rural,Approved
Wheat,North,30.28,368.29,20.58,permanent_crop/PermanentCrop_117.jpg,785,22,4.682945538,1.219863054,4.273731586,Loan_23,133,786.1742978,407,457,700.9877191,Male,No,2,Graduate,No,12932,3775,425,120,1,Urban,Rejected
Rice,South,34.97,167.32,18.76,permanent_crop/PermanentCrop_118.jpg,847,23,1.702613418,1.538334941,2.851498924,Loan_24,468,858.3176769,446,398,895.9235289,Male,Yes,0,Not Graduate,No,8572,506,255,60,1,Urban,Rejected
Barley,East,54.43,116.26,18.88,permanent_crop/PermanentCrop_119.jpg,700,24,1.764046335,4.922846696,1.522258085,Loan_25,383,775.3904621,168,237,954.4449907,Female,No,2,Not Graduate,Yes,11128,4491,221,240,1,Semiurban,Rejected
Cotton,East,28.78,349.48,17.2,permanent_crop/PermanentCrop_12.jpg,825,25,4.945703501,1.416778978,2.515148033,Loan_26,382,907.4380966,211,383,829.1463338,Male,Yes,3+,Not Graduate,Yes,5341,1825,171,120,1,Urban,Approved
Wheat,South,40.49,443.23,21.65,permanent_crop/PermanentCrop_120.jpg,821,26,2.119260385,1.923464096,4.412253383,Loan_27,101,974.4794146,305,320,637.5629614,Male,No,2,Graduate,Yes,10669,6642,131,36,0,Urban,Approved
Wheat,East,34.22,191.46,31.93,permanent_crop/PermanentCrop_121.jpg,679,27,1.761907894,4.514029588,1.576943344,Loan_28,296,805.0625726,378,469,718.1955062,Female,Yes,2,Graduate,Yes,7895,2631,345,36,1,Urban,Approved
Wheat,East,63.86,228.65,30.21,permanent_crop/PermanentCrop_122.jpg,685,28,1.131269062,2.494513747,2.38604152,Loan_29,314,856.6233905,493,211,547.0328977,Male,Yes,0,Graduate,Yes,3002,7436,431,12,1,Urban,Rejected
Cotton,South,50.89,225.21,24.1,permanent_crop/PermanentCrop_123.jpg,783,29,2.116283477,1.317488719,2.370564747,Loan_30,497,987.9140758,148,492,971.211372,Male,No,3+,Graduate,No,13748,3146,415,12,1,Semiurban,Rejected
Maize,North,28.2,265.59,15.54,permanent_crop/PermanentCrop_124.jpg,845,30,2.944587037,4.254363996,4.518210888,Loan_31,471,686.8126129,184,270,953.1815341,Male,Yes,0,Not Graduate,No,12066,3672,67,240,0,Urban,Approved
Cotton,West,57.4,359.45,27.13,permanent_crop/PermanentCrop_125.jpg,674,31,3.658437305,3.794801957,3.618349576,Loan_32,133,608.1860998,142,336,690.490662,Male,No,3+,Graduate,No,3338,4036,499,36,1,Urban,Rejected
Cotton,East,50.73,337.8,22.55,permanent_crop/PermanentCrop_126.jpg,753,32,2.034571072,3.12057252,4.301797872,Loan_33,236,735.5652624,151,206,686.2211358,Female,No,0,Not Graduate,No,4111,2681,76,120,0,Semiurban,Rejected
Barley,South,56.74,376.78,24.08,permanent_crop/PermanentCrop_127.jpg,651,33,4.069645805,4.92601922,2.93287649,Loan_34,469,881.0696473,174,500,649.1132782,Male,No,1,Not Graduate,Yes,5519,3540,300,240,0,Semiurban,Rejected
Cotton,North,28.04,485.61,23.24,permanent_crop/PermanentCrop_128.jpg,759,34,2.665592747,2.424978298,3.044753916,Loan_35,346,686.4637789,156,474,635.6036323,Female,No,2,Graduate,Yes,14866,9817,253,240,0,Rural,Approved
Wheat,East,23.9,303.12,22.56,permanent_crop/PermanentCrop_129.jpg,806,35,4.892939622,4.278730627,3.447601137,Loan_36,193,927.0524587,276,226,636.8179932,Female,No,3+,Graduate,No,12778,1990,86,60,1,Urban,Approved
Rice,South,50.12,443.3,34.71,permanent_crop/PermanentCrop_13.jpg,695,36,2.515218683,4.792889962,1.305158548,Loan_37,139,639.7393342,176,167,887.503164,Female,Yes,2,Not Graduate,No,14950,2017,358,36,0,Rural,Approved
Barley,North,46.86,246.68,21.17,permanent_crop/PermanentCrop_130.jpg,657,37,3.211462049,4.537658872,3.66797044,Loan_38,198,906.0194631,493,332,551.1938218,Female,No,0,Not Graduate,Yes,12911,4006,386,12,1,Rural,Rejected
Wheat,North,43.35,329.79,17.57,permanent_crop/PermanentCrop_131.jpg,675,38,1.553536342,4.236073579,1.347814218,Loan_39,332,978.4095341,213,159,820.2906268,Male,No,2,Not Graduate,No,7964,4580,344,120,0,Urban,Approved
Barley,East,53.84,210.31,34.57,permanent_crop/PermanentCrop_132.jpg,713,39,3.713367536,1.397587122,4.913937831,Loan_40,142,758.4086967,315,292,516.059835,Female,Yes,0,Not Graduate,No,2930,556,446,12,0,Semiurban,Rejected
Barley,South,58.88,318.85,23.59,permanent_crop/PermanentCrop_133.jpg,708,40,3.569463645,1.582184586,4.126162864,Loan_41,187,792.7376398,191,151,958.0354961,Male,Yes,1,Not Graduate,No,12110,1130,198,120,1,Urban,Rejected
Rice,South,71.75,320.79,23.01,permanent_crop/PermanentCrop_134.jpg,782,41,3.855185156,1.546070435,4.809935999,Loan_42,384,908.0525815,384,498,743.8477697,Male,No,0,Not Graduate,No,6755,8593,315,36,0,Semiurban,Rejected
Maize,North,20.16,451.25,30.61,permanent_crop/PermanentCrop_135.jpg,757,42,1.026342921,1.025386526,2.39668159,Loan_43,162,609.0461227,391,458,753.0735713,Female,No,0,Not Graduate,Yes,6183,6647,200,12,0,Rural,Rejected
Maize,East,38.64,488.04,27.59,permanent_crop/PermanentCrop_136.jpg,831,43,1.542493737,1.438245131,1.356659803,Loan_44,411,637.4931836,209,208,615.0758566,Female,Yes,0,Graduate,No,4456,4738,298,36,1,Semiurban,Rejected
Barley,East,31.94,122.04,17.15,permanent_crop/PermanentCrop_137.jpg,738,44,2.606416229,3.956593734,1.528519794,Loan_45,378,737.9364325,253,472,788.0778824,Female,Yes,3+,Not Graduate,No,12647,3408,339,12,1,Rural,Approved
Wheat,East,52.14,354.46,17.68,permanent_crop/PermanentCrop_138.jpg,832,45,2.858732816,2.98823175,3.065983819,Loan_46,175,799.1408276,372,492,525.6432915,Male,No,0,Not Graduate,No,8647,6647,390,12,1,Urban,Approved
Rice,South,42.68,185.28,32.52,permanent_crop/PermanentCrop_139.jpg,832,46,2.144311238,3.331261895,4.697571168,Loan_47,226,577.2356281,170,278,650.7505426,Female,No,2,Not Graduate,Yes,12297,1369,154,36,1,Semiurban,Rejected
Rice,North,48.43,344.6,21.12,permanent_crop/PermanentCrop_14.jpg,834,47,4.043582499,2.820947737,2.145449567,Loan_48,156,654.5255358,277,151,861.9496679,Female,Yes,2,Not Graduate,No,9704,4621,274,60,1,Semiurban,Rejected
Maize,North,55.89,292.94,29.18,permanent_crop/PermanentCrop_140.jpg,806,48,1.769985966,3.567796519,2.27022628,Loan_49,500,690.6760508,290,309,656.4218435,Male,Yes,2,Graduate,Yes,7860,2472,411,12,0,Rural,Approved
Wheat,South,77.81,408.18,15.56,permanent_crop/PermanentCrop_141.jpg,769,49,3.200648125,3.479082784,4.809111564,Loan_50,254,719.5990523,355,279,545.1051946,Female,Yes,0,Graduate,Yes,7590,1650,109,120,0,Semiurban,Rejected
Rice,West,45.54,125.49,30.72,permanent_crop/PermanentCrop_142.jpg,846,50,2.514705083,4.675091261,3.197240014,Loan_51,475,551.4992116,198,470,877.9344761,Female,Yes,3+,Graduate,No,9276,4510,268,120,1,Urban,Rejected
Rice,North,50.15,361.02,32.15,permanent_crop/PermanentCrop_143.jpg,651,51,4.62139529,1.05703642,1.210499177,Loan_52,368,596.0326273,479,484,978.7596511,Female,Yes,2,Not Graduate,Yes,13055,4604,182,12,0,Urban,Rejected
Wheat,West,78.56,319.02,16.96,permanent_crop/PermanentCrop_144.jpg,684,52,3.127077094,4.517744524,2.545395964,Loan_53,139,743.5920857,261,295,582.7680385,Male,Yes,3+,Graduate,Yes,11675,1346,334,60,0,Rural,Rejected
Barley,West,56.73,477.49,26.93,permanent_crop/PermanentCrop_145.jpg,745,53,3.97973062,1.584184677,4.949466699,Loan_54,403,561.2405068,212,214,603.4692204,Female,No,1,Not Graduate,No,11637,8992,338,120,1,Urban,Approved
Barley,South,62.3,240.23,18.88,permanent_crop/PermanentCrop_146.jpg,795,54,3.081046309,2.037963188,3.348795513,Loan_55,385,939.0946583,222,270,789.1222094,Male,Yes,0,Graduate,Yes,14646,2916,218,240,0,Urban,Approved
Maize,West,47.74,176.47,18.56,permanent_crop/PermanentCrop_147.jpg,748,55,2.468182932,4.465162454,3.980469569,Loan_56,144,679.7544936,230,171,959.8961924,Female,No,2,Not Graduate,Yes,8401,5878,402,60,1,Semiurban,Approved
Rice,West,63.49,383.15,26.42,permanent_crop/PermanentCrop_148.jpg,665,56,4.863012749,4.408081029,2.620016301,Loan_57,235,941.2319007,233,447,646.1233473,Male,Yes,2,Graduate,Yes,12562,3985,263,36,1,Urban,Rejected
Barley,North,20.97,444.96,34.55,permanent_crop/PermanentCrop_149.jpg,688,57,1.716468567,2.468055317,1.529979581,Loan_58,297,665.869774,172,363,632.0140563,Male,No,2,Not Graduate,Yes,5796,2104,114,60,0,Urban,Approved
Rice,North,70.76,105.89,25.09,permanent_crop/PermanentCrop_15.jpg,838,58,1.22078931,4.665138181,2.305427333,Loan_59,121,894.09397,434,254,594.9544682,Male,Yes,1,Not Graduate,Yes,10112,5870,132,60,1,Semiurban,Approved
Cotton,East,53.67,286.27,31.96,permanent_crop/PermanentCrop_150.jpg,656,59,1.843800173,3.557988556,4.482878333,Loan_60,195,789.0512569,297,325,668.4602986,Female,No,0,Graduate,No,8034,5077,317,36,1,Rural,Rejected
Wheat,North,79.92,150.89,18.5,permanent_crop/PermanentCrop_151.jpg,820,60,2.455625668,4.509298096,3.567110918,Loan_61,227,647.706719,298,292,693.3101388,Female,No,1,Not Graduate,Yes,10193,4176,367,120,1,Urban,Approved
Cotton,West,53.51,193,31.49,permanent_crop/PermanentCrop_152.jpg,765,61,4.492517862,4.116640524,1.81402015,Loan_62,224,615.8628517,181,473,793.4700074,Male,No,1,Not Graduate,Yes,3157,6885,384,60,0,Rural,Rejected
Wheat,East,30.94,125.99,21.13,permanent_crop/PermanentCrop_153.jpg,693,62,3.075507942,3.067360733,3.637717953,Loan_63,482,997.9440413,216,264,571.1259028,Male,No,2,Not Graduate,No,3125,7590,260,12,0,Semiurban,Rejected
Wheat,North,24.97,177.25,31.88,permanent_crop/PermanentCrop_154.jpg,721,63,1.191996275,4.25660681,2.043955828,Loan_64,494,881.0701373,488,360,760.6899711,Female,Yes,2,Graduate,Yes,11172,3409,388,12,0,Urban,Approved
Barley,South,64.43,425.88,16.53,permanent_crop/PermanentCrop_155.jpg,839,64,2.252001415,3.644343377,2.142217124,Loan_65,156,555.9160629,327,431,688.8313812,Female,No,3+,Not Graduate,Yes,10107,2285,71,36,0,Semiurban,Rejected
Cotton,West,32.02,185.64,17.7,permanent_crop/PermanentCrop_156.jpg,733,65,3.687793356,4.271556312,3.404367908,Loan_66,158,958.1888824,239,293,542.1963153,Male,Yes,2,Graduate,No,4905,2807,359,36,0,Rural,Rejected
Cotton,East,24.28,340.04,27.29,permanent_crop/PermanentCrop_157.jpg,653,66,1.142732679,4.947502549,3.310889036,Loan_67,114,721.7727033,112,296,726.0177294,Male,No,2,Graduate,No,12206,1966,391,120,1,Semiurban,Rejected
Wheat,West,24.37,351.99,17.69,permanent_crop/PermanentCrop_158.jpg,707,67,1.985729193,4.57057697,2.838578574,Loan_68,121,947.6926268,363,183,725.6668352,Male,No,0,Not Graduate,No,9201,5981,312,240,1,Semiurban,Rejected
Rice,West,45.79,435.99,34.24,permanent_crop/PermanentCrop_159.jpg,766,68,3.24579106,3.23130623,2.633033688,Loan_69,116,787.5577798,316,261,780.1314696,Male,Yes,1,Graduate,Yes,8815,6627,473,36,1,Semiurban,Approved
Barley,North,64.28,124.23,27.06,permanent_crop/PermanentCrop_16.jpg,718,69,3.722907537,2.90714205,3.844387908,Loan_70,118,606.1833941,381,149,780.3844955,Male,Yes,2,Not Graduate,No,13725,5712,440,12,1,Rural,Approved
Wheat,South,34.6,168.07,21.22,permanent_crop/PermanentCrop_160.jpg,696,70,3.027822861,3.713929969,4.421629193,Loan_71,476,525.6491034,442,281,866.6329904,Female,No,0,Graduate,No,10261,9209,94,36,1,Rural,Rejected
Wheat,North,73.4,354.08,15.09,permanent_crop/PermanentCrop_161.jpg,701,71,3.174853626,2.370035021,4.336039525,Loan_72,170,584.4868944,139,497,678.8552846,Male,Yes,1,Graduate,No,2070,2039,390,240,1,Urban,Rejected
Rice,South,29.61,155.34,19.25,permanent_crop/PermanentCrop_162.jpg,712,72,1.871055534,4.783623587,4.230584295,Loan_73,406,682.122901,398,270,574.3377106,Male,No,2,Graduate,No,5267,8260,355,240,0,Urban,Rejected
Barley,East,73.7,416.77,30.29,permanent_crop/PermanentCrop_163.jpg,743,73,1.872667762,3.431165024,1.619545238,Loan_74,340,914.8191794,129,271,983.1255037,Male,Yes,2,Graduate,Yes,14104,1436,138,12,0,Urban,Approved
Cotton,East,41.21,389.58,24.58,permanent_crop/PermanentCrop_164.jpg,813,74,1.179735164,1.301288862,2.990422699,Loan_75,236,563.8697421,115,149,804.2370231,Female,Yes,0,Not Graduate,Yes,5064,5745,450,120,1,Rural,Rejected
Barley,North,29.09,342.1,19.9,permanent_crop/PermanentCrop_165.jpg,705,75,1.270500193,2.510427738,2.795592624,Loan_76,253,621.8389982,306,135,780.2821436,Female,No,2,Not Graduate,Yes,10995,1795,176,12,1,Semiurban,Approved
Wheat,East,22.77,107.75,24.91,permanent_crop/PermanentCrop_166.jpg,844,76,2.282878539,2.560431921,4.910505551,Loan_77,481,594.6146906,345,186,521.4385245,Female,Yes,2,Graduate,Yes,6833,3604,155,60,1,Rural,Rejected
Barley,North,29.26,275.42,24.24,permanent_crop/PermanentCrop_167.jpg,736,77,4.781941972,1.050720642,2.084962313,Loan_78,435,973.1339303,143,336,812.175102,Female,Yes,1,Not Graduate,Yes,7181,1487,176,240,0,Urban,Rejected
Maize,South,59.93,300.49,29.4,permanent_crop/PermanentCrop_168.jpg,794,78,3.966446031,3.695543534,3.224772285,Loan_79,442,778.9449839,168,368,878.4798597,Male,No,3+,Graduate,Yes,2099,8894,229,240,1,Semiurban,Rejected
Barley,East,48.43,349.16,17.54,permanent_crop/PermanentCrop_169.jpg,695,79,1.921568299,4.977082282,1.752770754,Loan_80,157,571.3106197,477,278,700.8274905,Male,No,0,Not Graduate,Yes,3412,1462,458,240,0,Rural,Rejected
Barley,East,60.06,305.24,25.58,permanent_crop/PermanentCrop_17.jpg,708,80,3.220062056,3.571562975,4.110869518,Loan_81,379,580.2114532,346,136,539.8608474,Female,Yes,0,Graduate,Yes,4282,5767,275,12,1,Semiurban,Approved
Barley,South,31.96,119.07,29.43,permanent_crop/PermanentCrop_170.jpg,814,81,1.893808824,3.094778321,3.968779811,Loan_82,312,667.0722805,151,484,769.9763413,Female,Yes,1,Graduate,Yes,9074,1994,267,60,1,Urban,Approved
Rice,West,59.27,412.88,31.29,permanent_crop/PermanentCrop_171.jpg,806,82,1.47257255,1.996053325,2.186882523,Loan_83,401,983.5045886,456,181,996.1158892,Male,No,2,Not Graduate,No,14887,6606,453,120,1,Urban,Rejected
Barley,East,27.04,159.64,20.79,permanent_crop/PermanentCrop_172.jpg,707,83,3.538020684,2.942240971,2.217924033,Loan_84,123,877.2466069,378,364,869.6359801,Female,Yes,3+,Not Graduate,No,8210,1138,126,12,1,Semiurban,Rejected
Maize,South,21.48,151.4,27.23,permanent_crop/PermanentCrop_173.jpg,848,84,3.231433704,2.581270226,4.908202003,Loan_85,327,501.084358,369,413,897.7679179,Male,Yes,0,Graduate,Yes,9669,3572,66,60,0,Urban,Rejected
Cotton,South,46.94,295.82,30.13,permanent_crop/PermanentCrop_174.jpg,762,85,4.87446951,3.757169345,4.977710068,Loan_86,372,578.811521,201,260,502.8025072,Female,Yes,3+,Not Graduate,No,5492,5337,172,60,1,Rural,Rejected
Cotton,East,56.89,233.62,27.05,permanent_crop/PermanentCrop_175.jpg,818,86,4.60877801,1.210985691,1.074233072,Loan_87,312,551.8878326,227,270,579.8430616,Male,Yes,3+,Graduate,Yes,13708,9348,394,60,1,Urban,Approved
Rice,North,22.14,335.79,16.81,permanent_crop/PermanentCrop_176.jpg,809,87,1.025987865,2.067455471,3.652885421,Loan_88,411,848.7182238,119,313,752.4070702,Female,No,2,Graduate,Yes,3535,8615,255,60,0,Rural,Rejected
Cotton,South,60.58,190.31,19.02,permanent_crop/PermanentCrop_177.jpg,763,88,3.11948247,3.8438278,3.775117895,Loan_89,348,654.765325,236,425,812.0335296,Male,Yes,0,Not Graduate,No,14921,3692,97,60,0,Semiurban,Approved
Barley,East,38.17,481.98,23.31,permanent_crop/PermanentCrop_178.jpg,680,89,1.390886076,3.242069878,3.901264993,Loan_90,478,922.1869664,325,136,576.3883174,Male,No,2,Graduate,Yes,6384,1120,189,120,0,Semiurban,Rejected
Rice,East,32.36,371.49,24.92,permanent_crop/PermanentCrop_179.jpg,847,90,3.661418247,3.380995783,1.644384607,Loan_91,239,845.8885538,240,398,818.0943632,Female,No,3+,Not Graduate,No,5391,5361,392,240,1,Semiurban,Approved
Cotton,South,35.01,234.63,26.26,permanent_crop/PermanentCrop_18.jpg,702,91,1.032127849,2.833228226,1.885579315,Loan_92,471,947.9442316,366,240,539.4584692,Female,Yes,0,Graduate,No,10838,514,188,12,1,Rural,Approved
Barley,West,32.38,135.28,24.35,permanent_crop/PermanentCrop_180.jpg,702,92,1.292423353,2.521713583,1.355030141,Loan_93,371,882.420517,127,266,743.1477622,Female,No,0,Not Graduate,No,3124,3942,211,120,1,Urban,Approved
Rice,East,50.13,212.73,18.11,permanent_crop/PermanentCrop_181.jpg,700,93,3.477586204,3.094449938,1.172139266,Loan_94,369,914.7260675,193,163,541.0457885,Male,Yes,2,Graduate,No,9371,7649,75,240,1,Semiurban,Approved
Barley,South,35,486.12,15.29,permanent_crop/PermanentCrop_182.jpg,773,94,4.50824685,2.031187293,3.249128251,Loan_95,130,748.569883,354,320,765.3402457,Male,No,1,Not Graduate,No,14095,2863,119,36,1,Semiurban,Rejected
Cotton,West,62.61,139.99,34.35,permanent_crop/PermanentCrop_183.jpg,837,95,4.388922511,2.587357517,2.625741644,Loan_96,423,720.8270179,158,178,973.2133338,Male,Yes,2,Not Graduate,No,6054,7855,167,36,0,Urban,Approved
Maize,East,33.94,274.12,21.69,permanent_crop/PermanentCrop_184.jpg,755,96,1.520874349,3.901248527,2.744636048,Loan_97,272,814.6440838,360,366,775.4926584,Male,Yes,3+,Not Graduate,Yes,4463,4604,372,120,1,Semiurban,Approved
Barley,North,37.29,190.47,25.45,permanent_crop/PermanentCrop_185.jpg,741,97,3.021877126,3.737750259,4.130610653,Loan_98,147,979.2907269,343,451,608.3254468,Male,Yes,0,Graduate,Yes,4355,4623,223,60,0,Urban,Rejected
Cotton,South,75.38,103.12,25,permanent_crop/PermanentCrop_186.jpg,770,98,4.944213339,3.994468951,4.969863556,Loan_99,316,776.7434499,199,117,735.9485214,Male,Yes,1,Not Graduate,Yes,13655,4138,254,12,1,Urban,Rejected
Rice,East,52.91,356.86,22.59,permanent_crop/PermanentCrop_187.jpg,652,99,3.144857076,1.027796794,2.471678984,Loan_100,495,869.3611908,178,443,994.2584953,Female,Yes,3+,Graduate,No,10954,6173,337,120,1,Rural,Rejected
Maize,East,41.28,387.29,20.61,permanent_crop/PermanentCrop_188.jpg,742,100,3.309580634,2.46280711,4.525511577,Loan_101,277,673.8571717,206,343,764.3073902,Female,Yes,2,Not Graduate,Yes,6072,9738,467,240,1,Semiurban,Approved
Barley,South,24.74,186.04,28.13,permanent_crop/PermanentCrop_189.jpg,828,101,1.870488581,4.018409707,1.334778351,Loan_102,475,884.2563908,498,161,506.7412553,Female,No,1,Not Graduate,Yes,3643,8394,481,36,1,Rural,Rejected
Maize,West,26.4,478.03,18.93,permanent_crop/PermanentCrop_19.jpg,814,102,2.37658874,2.480222562,1.997609947,Loan_103,211,922.7824235,158,162,541.0066778,Female,No,1,Graduate,Yes,11460,4215,369,240,1,Urban,Approved
Rice,East,48.54,312.65,25.47,permanent_crop/PermanentCrop_190.jpg,651,103,2.898045926,2.398169697,1.259202402,Loan_104,244,685.2805575,338,472,623.7430383,Male,No,2,Not Graduate,Yes,5450,4484,289,240,1,Urban,Rejected
Cotton,West,20.52,349.75,29,permanent_crop/PermanentCrop_191.jpg,652,104,1.14521675,2.561675182,1.722127458,Loan_105,309,661.3999364,269,334,965.4483609,Male,No,3+,Graduate,Yes,7261,76,358,36,0,Urban,Rejected
Barley,North,45.75,301.79,18.17,permanent_crop/PermanentCrop_192.jpg,677,105,3.820915632,3.565688975,1.698386798,Loan_106,432,957.1613218,389,172,998.8234109,Female,No,1,Graduate,No,12163,2728,331,12,0,Semiurban,Rejected
Cotton,West,52.88,116.48,18.12,permanent_crop/PermanentCrop_193.jpg,710,106,4.155270176,1.489550806,4.026388031,Loan_107,125,594.1621406,106,337,805.8630161,Female,Yes,0,Not Graduate,No,13259,8283,359,240,1,Urban,Approved
Cotton,East,63.2,174.74,27.31,permanent_crop/PermanentCrop_194.jpg,710,107,1.93136754,3.169378478,2.100762424,Loan_108,339,943.5547545,403,344,817.0721211,Female,Yes,3+,Graduate,Yes,6664,6368,399,120,1,Urban,Approved
Rice,South,31.01,433.39,32.64,permanent_crop/PermanentCrop_195.jpg,676,108,3.640281913,4.7373542,3.3770208,Loan_109,131,774.2851653,499,302,900.539938,Male,No,0,Graduate,Yes,5161,5571,444,240,1,Urban,Rejected
Rice,South,38.07,365.9,22.79,permanent_crop/PermanentCrop_196.jpg,752,109,1.341760127,4.740637871,4.740236371,Loan_110,375,503.5774222,428,381,797.3964436,Female,No,0,Not Graduate,No,13056,4583,441,12,0,Urban,Rejected
